order_id,order_date,season,year,uniform_set,product_category,gender_age,size,color,number,quantity,unit_price
3409,9/1/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3410,9/1/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3411,9/1/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3412,9/1/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3413,9/2/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3414,9/2/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3415,9/2/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3416,9/2/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3417,9/2/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3418,9/2/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3419,9/2/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3420,9/2/2020,fall,2020,fall,bottom,mens_youth,YS,,,1,28
3424,9/2/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3425,9/2/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3426,9/2/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3428,9/3/2020,fall,2020,fall,bottom,mens_youth,YM,,,1,28
3431,9/3/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3432,9/3/2020,fall,2020,fall,bottom,mens_youth,YL,,,1,28
3434,9/3/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3435,9/3/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3436,9/3/2020,fall,2020,fall,socks,mens_youth,AM,,,1,12
3438,9/3/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3439,9/3/2020,fall,2020,fall,bottom,mens_youth,YM,,,1,28
3440,9/3/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3441,9/3/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3442,9/3/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3443,9/3/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3444,9/3/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3445,9/3/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3446,9/3/2020,fall,2020,fall,top,womens,AM,Black,,1,50
3448,9/3/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3449,9/4/2020,fall,2020,fall,bottom,mens_youth,YS,,,1,28
3450,9/4/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3451,9/4/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3452,9/4/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3453,9/4/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3454,9/4/2020,fall,2020,fall,bottom,mens_youth,AM,,,1,30
3456,9/4/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3457,9/5/2020,fall,2020,fall,bottom,mens_youth,AS,,,1,30
3458,9/5/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3459,9/5/2020,fall,2020,fall,socks,mens_youth,AM,,,1,12
3460,9/5/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3462,9/5/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3464,9/5/2020,fall,2020,fall,top,mens_youth,YM,Black,,1,45
3466,9/6/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3467,9/6/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3468,9/6/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3469,9/6/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3470,9/6/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3471,9/6/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3473,9/6/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3474,9/6/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3475,9/7/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3476,9/7/2020,fall,2020,fall,top,womens,AM,Red,,1,50
